X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
75.48	0.29	-3.71	-0.637255	-0.796371
76.50	0.21	-3.90	-0.0245098	-0.185
77.52	0.24	-3.97	-0.0392157	-0.20108
78.54	0.13	-4.18	-0.102941	-0.26618
79.56	0.03	-4.39	-0.0637255	-0.228338
80.58	0.00	-4.53	0.0833333	-0.0826537
81.60	0.20	-4.43	0.0588235	-0.108538
82.62	0.12	-4.62	-0.0294118	-0.198147
83.64	0.14	-4.72	0.0931373	-0.0769725
84.66	0.31	-4.65	0.0294118	-0.142072
85.68	0.20	-4.88	0.0686275	-0.104231
86.70	0.45	-4.75	0.0294118	-0.144821
87.72	0.26	-5.05	-0.117647	-0.293254
88.74	0.21	-5.22	0.151961	-0.0250201
89.76	0.57	-4.98	0.0833333	-0.0950218
90.78	0.38	-5.29	-0.0294118	-0.209141
91.80	0.51	-5.27	0.0931373	-0.0879664
92.82	0.57	-5.33	0.0490196	-0.133458
93.84	0.61	-5.41	0.0882353	-0.0956168
94.86	0.75	-5.40	0.186275	0.00104819
95.88	0.99	-5.29	0.176471	-0.01013
96.90	1.11	-5.29	0.181373	-0.00660224
97.92	1.36	-5.17	0.171569	-0.0177804
98.94	1.46	-5.20	0.0931373	-0.097586
99.96	1.55	-5.23	0.0931373	-0.0989602
100.98	1.65	-5.26	0.0490196	-0.144452
102.00	1.65	-5.39	-0.0735294	-0.268375
103.02	1.50	-5.68	-0.151961	-0.348181
104.04	1.34	-5.97	-0.147059	-0.344653
105.06	1.20	-6.24	-0.0686275	-0.267596
106.08	1.20	-6.38	-0.0196078	-0.219951
107.10	1.16	-6.56	-0.0196078	-0.221325
108.12	1.16	-6.70	0.0441176	-0.158974
109.14	1.25	-6.75	0.112745	-0.0917205
110.16	1.39	-6.75	0.0539216	-0.151918
111.18	1.36	-6.92	0.0196078	-0.187606
112.20	1.43	-7.00	0.0588235	-0.149765
113.22	1.48	-7.09	0.0686275	-0.141335
114.24	1.57	-7.14	0.230392	0.0190554
115.26	1.95	-6.90	0.289216	0.0765047
116.28	2.16	-6.85	0.147059	-0.0670264
117.30	2.25	-6.90	0.191176	-0.024283
118.32	2.55	-6.75	0.29902	0.0821859
119.34	2.86	-6.60	0.328431	0.110223
120.36	3.22	-6.39	0.29902	0.0794374
121.38	3.47	-6.29	0.284314	0.0633573
122.40	3.80	-6.12	0.259804	0.0374733
123.42	4.00	-6.08	0.176471	-0.0472343
124.44	4.16	-6.07	0.107843	-0.117236
125.46	4.22	-6.16	0.176471	-0.0499828
126.48	4.52	-6.02	0.235294	0.00746652
127.50	4.70	-6.01	0.348039	0.118837
128.52	5.23	-5.64	0.480392	0.249816
129.54	5.68	-5.35	0.573529	0.341579
