gID15-M2+ML-C-15-ABBA3ave.slp
Rc (m)	SLP err rms (µrad) 	HGT err rms (nm)	PV profile (µm)	PV HGT err (nm)
-469152.084158	0.157758	1.300303	0.046457	5.423531

x (mm)	slope error (µrad)	x (mm)	HGT error (nm)	HGT  (µm)
101.000003	-0.160603	101.000003	0.766641	0.013771
102.000003	-0.152876	102.000003	0.618544	0.013256
103.000003	-0.125762	103.000003	0.488123	0.012757
104.000003	-0.073228	104.000003	0.397093	0.012295
105.000003	-0.024057	105.000003	0.355138	0.011880
106.000003	-0.036698	106.000003	0.330850	0.011480
107.000003	-0.083386	107.000003	0.279389	0.011051
108.000003	-0.074247	108.000003	0.209084	0.010601
109.000003	-0.104425	109.000003	0.126413	0.010137
110.000003	-0.169359	110.000003	-0.002535	0.009624
111.000003	-0.214192	111.000003	-0.184762	0.009055
112.000003	-0.218699	112.000003	-0.391934	0.008460
113.000003	-0.218271	113.000003	-0.601986	0.007859
114.000003	-0.219800	114.000003	-0.811878	0.007256
115.000003	-0.184231	115.000003	-1.004438	0.006669
116.000003	-0.137608	116.000003	-1.157023	0.006119
117.000003	-0.109655	117.000003	-1.272753	0.005604
118.000003	-0.093348	118.000003	-1.365876	0.005110
119.000003	-0.074783	119.000003	-1.441493	0.004631
120.000003	-0.066470	120.000003	-1.503898	0.004163
121.000003	-0.068731	121.000003	-1.563455	0.003695
122.000003	-0.091778	122.000003	-1.635059	0.003213
123.000003	-0.098167	123.000003	-1.720387	0.002716
124.000003	-0.079567	124.000003	-1.799194	0.002222
125.000003	-0.026378	125.000003	-1.841978	0.001763
126.000003	0.056049	126.000003	-1.817335	0.001369
127.000003	0.152863	127.000003	-1.704231	0.001061
128.000003	0.221262	128.000003	-1.509317	0.000833
129.000003	0.263944	129.000003	-1.257764	0.000659
130.000003	0.328650	130.000003	-0.952354	0.000537
131.000003	0.374742	131.000003	-0.593021	0.000467
132.000003	0.365473	132.000003	-0.216035	0.000412
133.000003	0.316365	133.000003	0.134051	0.000328
134.000003	0.255944	134.000003	0.425176	0.000183
135.000003	0.190578	135.000003	0.680547	0.000000
