Dim : 460 X 50 X 50 mm
Scan lenght : 429.5 mm
x(mm)	Slope (urad)
119.75	-2432.68771
120	-2426.82179
120.25	-2421.01848
120.5	-2415.22186
120.75	-2409.37709
121	-2403.56864
121.25	-2397.87609
121.5	-2392.21993
121.75	-2386.50988
122	-2380.77147
122.25	-2375.03888
122.5	-2369.26504
122.75	-2363.40928
123	-2357.53776
123.25	-2351.72009
123.5	-2345.93271
123.75	-2340.13454
124	-2334.30749
124.25	-2328.44842
124.5	-2322.59089
124.75	-2316.77064
125	-2310.99528
125.25	-2305.26041
125.5	-2299.54166
125.75	-2293.81333
126	-2288.06434
126.25	-2282.29038
126.5	-2276.49944
126.75	-2270.70296
127	-2264.91353
127.25	-2259.14276
127.5	-2253.39679
127.75	-2247.66936
128	-2241.90966
128.25	-2236.07847
128.5	-2230.22716
128.75	-2224.41346
129	-2218.62989
129.25	-2212.85851
129.5	-2207.10476
129.75	-2201.36709
130	-2195.59273
130.25	-2189.74748
130.5	-2183.92273
130.75	-2178.20008
131	-2172.4964
131.25	-2166.71942
131.5	-2160.90509
131.75	-2155.10781
132	-2149.32748
132.25	-2143.55639
132.5	-2137.811
132.75	-2132.09986
133	-2126.37585
133.25	-2120.591
133.5	-2114.74979
133.75	-2108.86859
134	-2102.95884
134.25	-2097.03974
134.5	-2091.16626
134.75	-2085.3842
135	-2079.66677
135.25	-2073.96911
135.5	-2068.24667
135.75	-2062.473
136	-2056.69354
136.25	-2050.95456
136.5	-2045.23355
136.75	-2039.49525
137	-2033.72202
137.25	-2027.90901
137.5	-2022.08471
137.75	-2016.28201
138	-2010.51813
138.25	-2004.79626
138.5	-1999.0793
138.75	-1993.32592
139	-1987.51813
139.25	-1981.65677
139.5	-1975.7945
139.75	-1969.98207
140	-1964.21084
140.25	-1958.46261
140.5	-1952.74042
140.75	-1947.03921
141	-1941.30019
141.25	-1935.47943
141.5	-1929.64606
141.75	-1923.86794
142	-1918.0949
142.25	-1912.27026
142.5	-1906.42941
142.75	-1900.6206
143	-1894.85126
143.25	-1889.11524
143.5	-1883.39283
143.75	-1877.66056
144	-1871.89349
144.25	-1866.07437
144.5	-1860.21811
144.75	-1854.35653
145	-1848.55696
145.25	-1842.86234
145.5	-1837.18256
145.75	-1831.42999
146	-1825.65973
146.25	-1819.9339
146.5	-1814.1998
146.75	-1808.40132
147	-1802.58372
147.25	-1796.7985
147.5	-1791.02104
147.75	-1785.22227
148	-1779.43136
148.25	-1773.67797
148.5	-1767.93541
148.75	-1762.17108
149	-1756.38502
149.25	-1750.59026
149.5	-1744.81895
149.75	-1739.09765
150	-1733.41123
150.25	-1727.73043
150.5	-1722.01105
150.75	-1716.22696
151	-1710.439
151.25	-1704.69949
151.5	-1698.93956
151.75	-1693.09475
152	-1687.23938
152.25	-1681.45974
152.5	-1675.75124
152.75	-1670.08251
153	-1664.40591
153.25	-1658.67578
153.5	-1652.87062
153.75	-1646.99121
154	-1641.10352
154.25	-1635.27343
154.5	-1629.50116
154.75	-1623.76456
155	-1618.01743
155.25	-1612.22181
155.5	-1606.39666
155.75	-1600.57212
156	-1594.76599
156.25	-1588.98767
156.5	-1583.22506
156.75	-1577.46016
157	-1571.67267
157.25	-1565.85045
157.5	-1560.0161
157.75	-1554.20194
158	-1548.4443
158.25	-1542.75705
158.5	-1537.06017
158.75	-1531.28379
159	-1525.4925
159.25	-1519.75961
159.5	-1514.05874
159.75	-1508.3403
160	-1502.5615
160.25	-1496.70072
160.5	-1490.81431
160.75	-1484.9645
161	-1479.15911
161.25	-1473.39144
161.5	-1467.65119
161.75	-1461.92574
162	-1456.1967
162.25	-1450.44618
162.5	-1444.66409
162.75	-1438.84823
163	-1433.02029
163.25	-1427.20126
163.5	-1421.38554
163.75	-1415.56742
164	-1409.76743
164.25	-1404.00382
164.5	-1398.25945
164.75	-1392.51139
165	-1386.74911
165.25	-1380.97027
165.5	-1375.19325
165.75	-1369.43784
166	-1363.70908
166.25	-1357.99736
166.5	-1352.24927
166.75	-1346.42902
167	-1340.61497
167.25	-1334.87903
167.5	-1329.15329
167.75	-1323.36107
168	-1317.53055
168.25	-1311.70513
168.5	-1305.88447
168.75	-1300.06741
169	-1294.29344
169.25	-1288.59145
169.5	-1282.90731
169.75	-1277.1861
170	-1271.4528
170.25	-1265.7351
170.5	-1259.99178
170.75	-1254.18442
171	-1248.35481
171.25	-1242.55015
171.5	-1236.75906
171.75	-1230.96116
172	-1225.15855
172.25	-1219.35148
172.5	-1213.51045
172.75	-1207.61725
173	-1201.72869
173.25	-1195.90585
173.5	-1190.15186
173.75	-1184.44775
174	-1178.74409
174.25	-1172.99632
174.5	-1167.20982
174.75	-1161.40328
175	-1155.59865
175.25	-1149.81512
175.5	-1144.05762
175.75	-1138.32464
176	-1132.60314
176.25	-1126.88028
176.5	-1121.15562
176.75	-1115.42786
177	-1109.67974
177.25	-1103.89997
177.5	-1098.11697
177.75	-1092.35707
178	-1086.59854
178.25	-1080.81561
178.5	-1075.01441
178.75	-1069.20739
179	-1063.40026
179.25	-1057.59698
179.5	-1051.80125
179.75	-1046.01032
180	-1040.19591
180.25	-1034.34205
180.5	-1028.50742
180.75	-1022.74603
181	-1017.01858
181.25	-1011.27637
181.5	-1005.52642
181.75	-999.77758
182	-993.99044
182.25	-988.13512
182.5	-982.26837
182.75	-976.44659
183	-970.63828
183.25	-964.80584
183.5	-958.97504
183.75	-953.17624
184	-947.39477
184.25	-941.61461
184.5	-935.8592
184.75	-930.14356
185	-924.40966
185.25	-918.61182
185.5	-912.82705
185.75	-907.12844
186	-901.45089
186.25	-895.71795
186.5	-889.94611
186.75	-884.16303
187	-878.34822
187.25	-872.48708
187.5	-866.63682
187.75	-860.84874
188	-855.07884
188.25	-849.28056
188.5	-843.49257
188.75	-837.75803
189	-832.05306
189.25	-826.34351
189.5	-820.62135
189.75	-814.88506
190	-809.13315
190.25	-803.36544
190.5	-797.587
190.75	-791.80311
191	-786.01452
191.25	-780.21886
191.5	-774.40565
191.75	-768.57464
192	-762.77468
192.25	-757.04427
192.5	-751.3314
192.75	-745.57998
193	-739.80808
193.25	-734.04106
193.5	-728.25928
193.75	-722.44001
194	-716.59311
194.25	-710.74323
194.5	-704.94152
194.75	-699.21607
195	-693.4763
195.25	-687.64119
195.5	-681.78677
195.75	-676.00053
196	-670.25865
196.25	-664.51965
196.5	-658.7827
196.75	-653.05342
197	-647.32249
197.25	-641.57418
197.5	-635.78195
197.75	-629.93446
198	-624.09187
198.25	-618.31014
198.5	-612.55666
198.75	-606.78948
199	-601.01787
199.25	-595.26032
199.5	-589.52106
199.75	-583.79216
200	-578.0314
200.25	-572.20976
200.5	-566.38535
200.75	-560.60825
201	-554.80929
201.25	-548.92971
201.5	-543.07149
201.75	-537.33537
202	-531.65642
202.25	-525.94912
202.5	-520.21128
202.75	-514.45801
203	-508.6902
203.25	-502.90423
203.5	-497.09262
203.75	-491.25509
204	-485.42404
204.25	-479.62598
204.5	-473.83116
204.75	-468.01136
205	-462.20068
205.25	-456.43162
205.5	-450.66802
205.75	-444.87281
206	-439.07415
206.25	-433.30588
206.5	-427.55953
206.75	-421.81234
207	-416.02687
207.25	-410.18171
207.5	-404.33428
207.75	-398.54379
208	-392.79751
208.25	-387.06698
208.5	-381.33255
208.75	-375.58207
209	-369.82453
209.25	-364.06623
209.5	-358.28156
209.75	-352.45304
210	-346.62786
210.25	-340.85218
210.5	-335.10358
210.75	-329.34759
211	-323.57031
211.25	-317.7673
211.5	-311.95157
211.75	-306.13905
212	-300.33997
212.25	-294.56048
212.5	-288.79617
212.75	-283.04337
213	-277.31193
213.25	-271.60282
213.5	-265.86778
213.75	-260.07001
214	-254.26761
214.25	-248.5161
214.5	-242.76578
214.75	-236.96103
215	-231.12783
215.25	-225.30621
215.5	-219.51059
215.75	-213.74528
216	-207.99987
216.25	-202.26036
216.5	-196.51322
216.75	-190.7467
217	-184.95561
217.25	-179.14367
217.5	-173.3437
217.75	-167.58528
218	-161.85605
218.25	-156.13518
218.5	-150.40994
218.75	-144.67425
219	-138.94041
219.25	-133.22231
219.5	-127.52162
219.75	-121.82817
220	-116.09652
220.25	-110.28713
220.5	-104.41928
220.75	-98.53011
221	-92.66944
221.25	-86.87313
221.5	-81.10858
221.75	-75.33692
222	-69.56263
222.25	-63.79757
222.5	-58.03975
222.75	-52.28504
223	-46.53465
223.25	-40.79019
223.5	-35.04955
223.75	-29.30645
224	-23.54185
224.25	-17.74246
224.5	-11.93097
224.75	-6.13184
225	-0.34069
225.25	5.4535
225.5	11.25962
225.75	17.07979
226	22.89102
226.25	28.67075
226.5	34.42316
226.75	40.16141
227	45.90786
227.25	51.67895
227.5	57.45814
227.75	63.22808
228	69.00123
228.25	74.7882
228.5	80.56249
228.75	86.30269
229	92.04504
229.25	97.82383
229.5	103.60805
229.75	109.36537
230	115.12355
230.25	120.90874
230.5	126.68061
230.75	132.39816
231	138.08429
231.25	143.7765
231.5	149.50691
231.75	155.29543
232	161.11872
232.25	166.94882
232.5	172.78263
232.75	178.61852
233	184.43591
233.25	190.222
233.5	196.01399
233.75	201.83733
234	207.62051
234.25	213.30201
234.5	218.95722
234.75	224.6689
235	230.41236
235.25	236.14589
235.5	241.86733
235.75	247.59069
236	253.35528
236.25	259.18414
236.5	265.01001
236.75	270.77059
237	276.51378
237.25	282.29718
237.5	288.10707
237.75	293.91578
238	299.71145
238.25	305.49021
238.5	311.26464
238.75	317.04763
239	322.83695
239.25	328.6259
239.5	334.40485
239.75	340.16435
240	345.89832
240.25	351.6079
240.5	357.31963
240.75	363.05939
241	368.825
241.25	374.61343
241.5	380.44642
241.75	386.32696
242	392.15849
242.25	397.86689
242.5	403.56763
242.75	409.37538
243	415.21212
243.25	420.99017
243.5	426.77601
243.75	432.63463
244	438.47079
244.25	444.19144
244.5	449.87243
244.75	455.60841
245	461.40028
245.25	467.22044
245.5	473.02105
245.75	478.76957
246	484.51497
246.25	490.3029
246.5	496.08425
246.75	501.80894
247	507.51771
247.25	513.26194
247.5	519.04483
247.75	524.85264
248	530.65183
248.25	536.41908
248.5	542.19165
248.75	548.00797
249	553.85059
249.25	559.68999
249.5	565.50447
249.75	571.28112
250	577.03435
250.25	582.78459
250.5	588.54914
250.75	594.33714
251	600.12842
251.25	605.90405
251.5	611.67961
251.75	617.4712
252	623.26278
252.25	629.03676
252.5	634.80153
252.75	640.57565
253	646.39239
253.25	652.26676
253.5	658.12613
253.75	663.90248
254	669.63386
254.25	675.37519
254.5	681.14271
254.75	686.93608
255	692.72732
255.25	698.49485
255.5	704.27017
255.75	710.08305
256	715.90318
256.25	721.69198
256.5	727.43803
256.75	733.14257
257	738.83054
257.25	744.52724
257.5	750.2358
257.75	755.96144
258	761.73995
258.25	767.59054
258.5	773.43556
258.75	779.20866
259	784.98534
259.25	790.83962
259.5	796.69758
259.75	802.47847
260	808.22223
260.25	813.9871
260.5	819.78401
260.75	825.60665
261	831.42705
261.25	837.22005
261.5	842.99338
261.75	848.75831
262	854.50739
262.25	860.23787
262.5	865.98445
262.75	871.77845
263	877.60015
263.25	883.42384
263.5	889.25091
263.75	895.07759
264	900.85239
264.25	906.53698
264.5	912.19345
264.75	917.88653
265	923.59118
265.25	929.28023
265.5	935.00777
265.75	940.82421
266	946.68385
266.25	952.53049
266.5	958.3621
266.75	964.1815
267	969.95684
267.25	975.66717
267.5	981.37004
267.75	987.11786
268	992.86404
268.25	998.56366
268.5	1004.27753
268.75	1010.06748
269	1015.8938
269.25	1021.701
269.5	1027.47215
269.75	1033.21029
270	1038.95985
270.25	1044.7607
270.5	1050.59301
270.75	1056.43026
271	1062.27876
271.25	1068.14609
271.5	1074.01201
271.75	1079.85311
272	1085.66109
272.25	1091.43718
272.5	1097.20566
272.75	1102.985
273	1108.74726
273.25	1114.47049
273.5	1120.20279
273.75	1125.99144
274	1131.81038
274.25	1137.62532
274.5	1143.44257
274.75	1149.26946
275	1155.07686
275.25	1160.84341
275.5	1166.61526
275.75	1172.43265
276	1178.24471
276.25	1183.99641
276.5	1189.70731
276.75	1195.41118
277	1201.12434
277.25	1206.85467
277.5	1212.59397
277.75	1218.33439
278	1224.08556
278.25	1229.85683
278.5	1235.63902
278.75	1241.42207
279	1247.21086
279.25	1253.00551
279.5	1258.77213
279.75	1264.49119
280	1270.23454
280.25	1276.06665
280.5	1281.93099
280.75	1287.76117
281	1293.5725
281.25	1299.39174
281.5	1305.20972
281.75	1311.01255
282	1316.80343
282.25	1322.5882
282.5	1328.36611
282.75	1334.13845
283	1339.92138
283.25	1345.72492
283.5	1351.51992
283.75	1357.28114
284	1363.03829
284.25	1368.81938
284.5	1374.59075
284.75	1380.32003
285	1386.04159
285.25	1391.79445
285.5	1397.56941
285.75	1403.34753
286	1409.11902
286.25	1414.88356
286.5	1420.66934
286.75	1426.49743
287	1432.33178
287.25	1438.13181
287.5	1443.8959
287.75	1449.63448
288	1455.36717
288.25	1461.11208
288.5	1466.87212
288.75	1472.64285
289	1478.40552
289.25	1484.14472
289.5	1489.87289
289.75	1495.60699
290	1501.35413
290.25	1507.11784
290.5	1512.89694
290.75	1518.68743
291	1524.47856
291.25	1530.26078
291.5	1536.03598
291.75	1541.80895
292	1547.5846
292.25	1553.36846
292.5	1559.16836
292.75	1564.98747
293	1570.80805
293.25	1576.60952
293.5	1582.38069
293.75	1588.11907
294	1593.84749
294.25	1599.59074
294.5	1605.35614
294.75	1611.14262
295	1616.93284
295.25	1622.71055
295.5	1628.48008
295.75	1634.2413
296	1639.9556
296.25	1645.6025
296.5	1651.27247
296.75	1657.04912
297	1662.8775
297.25	1668.68784
297.5	1674.48979
297.75	1680.30182
298	1686.09838
298.25	1691.86047
298.5	1697.63923
298.75	1703.48404
299	1709.36688
299.25	1715.24662
299.5	1721.10692
299.75	1726.94007
300	1732.74801
300.25	1738.53627
300.5	1744.31502
300.75	1750.09353
301	1755.8731
301.25	1761.65341
301.5	1767.43584
301.75	1773.22239
302	1779.01605
302.25	1784.81858
302.5	1790.6259
302.75	1796.43061
303	1802.2178
303.25	1807.98249
303.5	1813.7668
303.75	1819.6016
304	1825.42572
304.25	1831.18161
304.5	1836.91846
304.75	1842.68886
305	1848.45234
305.25	1854.17208
305.5	1859.91903
305.75	1865.75667
306	1871.61094
306.25	1877.3991
306.5	1883.14146
306.75	1888.8786
307	1894.6293
307.25	1900.40605
307.5	1906.21766
307.75	1912.06031
308	1917.88313
308.25	1923.64658
308.5	1929.40335
308.75	1935.20362
309	1940.99517
309.25	1946.7266
309.5	1952.4521
309.75	1958.23278
310	1964.05185
310.25	1969.87454
310.5	1975.67185
310.75	1981.42881
311	1987.18079
311.25	1992.96212
311.5	1998.7528
311.75	2004.52438
312	2010.2691
312.25	2015.99277
312.5	2021.7349
312.75	2027.52968
313	2033.35646
313.25	2039.18025
313.5	2044.96359
313.75	2050.68609
314	2056.39796
314.25	2062.15377
314.5	2067.95477
314.75	2073.78791
315	2079.63617
315.25	2085.47503
315.5	2091.25392
315.75	2096.94239
316	2102.61639
316.25	2108.35106
316.5	2114.1119
316.75	2119.85743
317	2125.62791
317.25	2131.45813
317.5	2137.27933
317.75	2143.03475
318	2148.81896
318.25	2154.7139
318.5	2160.5993
318.75	2166.35445
319	2172.05908
319.25	2177.81154
319.5	2183.58447
319.75	2189.33678
320	2195.09843
320.25	2200.90196
