RoC (km)  slope error   rms (urad)  shape error   rms (nm)
PV (um)  PV-shape error (nm)
10450.12  0.437  10.854  5.995  52.842
x(mm)  slope error (urad)  height error (nm)  Height (um)  
-47  0.114  4.252  0.095  
-46  0.053  4.402  0.091  
-45  -0.011  4.494  0.087  
-44  0.08  4.603  0.083  
-43  0.377  4.899  0.08  
-42  0.463  5.376  0.076  
-41  0.328  5.831  0.073  
-40  0.086  6.106  0.07  
-39  0.059  6.248  0.067  
-38  0.023  6.355  0.063  
-37  -0.008  6.426  0.06  
-36  -0.065  6.457  0.057  
-35  0.021  6.501  0.054  
-34  0.065  6.609  0.051  
-33  0.198  6.804  0.048  
-32  0.235  7.079  0.046  
-31  0.146  7.327  0.043  
-30  -0.058  7.434  0.041  
-29  -0.172  7.385  0.038  
-28  -0.175  7.276  0.036  
-27  -0.187  7.157  0.033  
-26  -0.166  7.042  0.031  
-25  -0.164  6.937  0.029  
-24  -0.197  6.815  0.026  
-23  -0.275  6.639  0.024  
-22  -0.311  6.407  0.022  
-21  -0.369  6.127  0.02  
-20  -0.396  5.807  0.018  
-19  -0.285  5.526  0.016  
-18  -0.258  5.311  0.015  
-17  -0.274  5.105  0.013  
-16  -0.177  4.938  0.012  
-15  -0.181  4.815  0.01  
-14  -0.177  4.693  0.009  
-13  -0.225  4.547  0.008  
-12  -0.278  4.354  0.007  
-11  -0.288  4.128  0.006  
-10  -0.317  3.881  0.005  
-9  -0.344  3.606  0.004  
-8  -0.352  3.313  0.003  
-7  -0.418  2.982  0.003  
-6  -0.447  2.605  0.002  
-5  -0.49  2.194  0.001  
-4  -0.409  1.8  0.001  
-3  -0.371  1.463  0  
-2  -0.341  1.16  0  
-1  -0.369  0.857  0  
0  -0.365  0.542  0  
1  -0.424  0.199  0  
2  -0.515  -0.217  0  
3  -0.501  -0.672  0  
4  -0.531  -1.136  0  
5  -0.512  -1.606  0.001  
6  -0.508  -2.067  0.001  
7  -0.558  -2.548  0.001  
8  -0.515  -3.034  0.002  
9  -0.533  -3.51  0.003  
10  -0.634  -4.044  0.003  
11  -0.616  -4.615  0.004  
12  -0.542  -5.144  0.005  
13  -0.448  -5.592  0.006  
14  -0.458  -5.998  0.007  
15  -0.423  -6.39  0.009  
16  -0.408  -6.758  0.01  
17  -0.418  -7.125  0.012  
18  -0.432  -7.501  0.013  
19  -0.35  -7.842  0.015  
20  -0.23  -8.087  0.017  
21  -0.2  -8.257  0.019  
22  -0.132  -8.373  0.021  
23  0.063  -8.364  0.024  
24  0.05  -8.269  0.026  
25  -0.074  -8.236  0.029  
26  -0.062  -8.256  0.032  
27  -0.021  -8.253  0.035  
28  0.011  -8.211  0.038  
29  0.188  -8.064  0.041  
30  0.398  -7.732  0.044  
31  0.411  -7.29  0.048  
32  0.331  -6.879  0.052  
33  0.26  -6.543  0.055  
34  0.079  -6.331  0.059  
35  0.039  -6.223  0.063  
36  0.209  -6.055  0.067  
37  0.292  -5.769  0.071  
38  0.175  -5.5  0.075  
39  0.029  -5.355  0.079  
40  0.046  -5.274  0.083  
41  0.053  -5.186  0.088  
42  0.033  -5.105  0.092  
43  -0.019  -5.062  0.097  
44  -0.166  -5.117  0.101  
45  -0.305  -5.31  0.105  
46  -0.226  -5.53  0.11  
47  -0.011  -5.61  0.115  
48  0.109  -5.528  0.12  
49  0.105  -5.387  0.125  
50  0.073  -5.263  0.13  
51  -0.03  -5.205  0.135  
52  -0.073  -5.217  0.14  
53  0.003  -5.215  0.146  
54  0.003  -5.182  0.151  
55  -0.16  -5.227  0.157  
56  -0.252  -5.396  0.162  
57  -0.295  -5.635  0.168  
58  -0.36  -5.927  0.173  
59  -0.346  -6.245  0.179  
60  -0.328  -6.548  0.184  
61  -0.303  -6.833  0.19  
62  -0.434  -7.174  0.196  
63  -0.654  -7.687  0.202  
64  -0.863  -8.406  0.208  
65  -0.747  -9.169  0.213  
66  -0.479  -9.753  0.219  
67  -0.49  -10.217  0.226  
68  -0.712  -10.788  0.232  
69  -0.801  -11.508  0.238  
70  -0.734  -12.241  0.244  
71  -0.617  -12.887  0.251  
72  -0.55  -13.44  0.257  
73  -0.37  -13.869  0.264  
74  -0.264  -14.161  0.271  
75  -0.251  -14.389  0.279  
76  -0.119  -14.544  0.286  
77  -0.032  -14.595  0.294  
78  -0.086  -14.631  0.301  
79  -0.211  -14.753  0.309  
80  -0.302  -14.981  0.317  
81  -0.368  -15.291  0.324  
82  -0.499  -15.696  0.332  
83  -0.481  -16.154  0.34  
84  -0.324  -16.532  0.348  
85  -0.358  -16.852  0.356  
86  -0.434  -17.223  0.364  
87  -0.471  -17.648  0.372  
88  -0.423  -18.067  0.381  
89  -0.293  -18.398  0.389  
90  -0.127  -18.586  0.398  
91  -0.071  -18.666  0.407  
92  -0.102  -18.729  0.416  
93  -0.058  -18.785  0.425  
94  -0.004  -18.797  0.434  
95  -0.125  -18.838  0.444  
96  -0.03  -18.889  0.453  
97  0.078  -18.845  0.463  
98  0.152  -18.711  0.472  
99  0.132  -18.548  0.482  
100  0.187  -18.365  0.492  
101  0.325  -18.086  0.503  
102  0.479  -17.667  0.513  
103  0.482  -17.172  0.524  
104  0.382  -16.724  0.534  
105  0.264  -16.378  0.545  
106  0.329  -16.058  0.556  
107  0.438  -15.658  0.567  
108  0.42  -15.217  0.578  
109  0.25  -14.866  0.589  
110  0.153  -14.644  0.6  
111  0.094  -14.504  0.611  
112  0.001  -14.44  0.622  
113  -0.096  -14.471  0.633  
114  -0.188  -14.598  0.644  
115  -0.322  -14.838  0.655  
116  -0.482  -15.224  0.666  
117  -0.588  -15.741  0.677  
118  -0.564  -16.297  0.688  
119  -0.452  -16.788  0.7  
120  -0.306  -17.157  0.711  
121  -0.355  -17.479  0.723  
122  -0.506  -17.893  0.734  
123  -0.422  -18.337  0.746  
124  -0.225  -18.646  0.758  
125  -0.089  -18.791  0.77  
126  0.076  -18.787  0.782  
127  0.131  -18.677  0.795  
128  0.072  -18.564  0.807  
129  0.076  -18.476  0.82  
130  0.174  -18.342  0.833  
131  0.111  -18.191  0.846  
132  0.09  -18.077  0.859  
133  0.193  -17.924  0.872  
134  0.263  -17.689  0.886  
135  0.207  -17.444  0.899  
136  0.284  -17.185  0.913  
137  0.449  -16.81  0.926  
138  0.532  -16.312  0.94  
139  0.656  -15.711  0.955  
140  0.686  -15.036  0.969  
141  0.607  -14.38  0.984  
142  0.734  -13.696  0.998  
143  0.981  -12.833  1.013  
144  1.079  -11.804  1.028  
145  0.93  -10.798  1.043  
146  0.845  -9.903  1.058  
147  0.802  -9.074  1.074  
148  0.693  -8.326  1.089  
149  0.433  -7.761  1.104  
150  0.189  -7.444  1.119  
151  0  -7.342  1.134  
152  -0.1  -7.382  1.149  
153  -0.014  -7.434  1.164  
154  -0.049  -7.465  1.179  
155  -0.076  -7.526  1.194  
156  -0.191  -7.663  1.209  
157  -0.498  -8.01  1.224  
158  -0.822  -8.666  1.239  
159  -1.011  -9.577  1.253  
160  -1.15  -10.653  1.268  
161  -1.176  -11.81  1.282  
162  -1.101  -12.944  1.297  
163  -0.937  -13.964  1.312  
164  -0.914  -14.891  1.327  
165  -0.822  -15.755  1.342  
166  -0.595  -16.456  1.358  
167  -0.128  -16.814  1.374  
168  0.322  -16.724  1.39  
169  0.539  -16.304  1.407  
170  0.576  -15.754  1.424  
171  0.49  -15.225  1.441  
172  0.45  -14.754  1.459  
173  0.566  -14.246  1.476  
174  0.691  -13.62  1.494  
175  0.827  -12.865  1.511  
176  0.932  -11.989  1.53  
177  1.049  -11.003  1.548  
178  1.129  -9.921  1.566  
179  1.129  -8.801  1.585  
180  1.032  -7.727  1.603  
181  0.947  -6.741  1.622  
182  0.97  -5.787  1.641  
183  0.975  -4.825  1.66  
184  0.775  -3.961  1.678  
185  0.594  -3.277  1.697  
186  0.694  -2.634  1.716  
187  0.782  -1.906  1.735  
188  0.773  -1.139  1.754  
189  0.727  -0.397  1.773  
190  0.744  0.33  1.792  
191  0.666  1.027  1.811  
192  0.691  1.698  1.831  
193  0.712  2.388  1.85  
194  0.634  3.05  1.87  
195  0.589  3.653  1.889  
196  0.598  4.237  1.909  
197  0.612  4.832  1.929  
198  0.659  5.456  1.949  
199  0.676  6.113  1.969  
200  0.723  6.801  1.989  
201  0.77  7.534  2.009  
202  0.738  8.269  2.03  
203  0.476  8.857  2.05  
204  0.122  9.145  2.07  
205  -0.068  9.168  2.09  
206  0.022  9.136  2.11  
207  0.087  9.174  2.13  
208  0.049  9.224  2.151  
209  -0.061  9.198  2.171  
210  -0.379  8.961  2.191  
211  -0.559  8.485  2.211  
212  -0.5  7.948  2.231  
213  -0.284  7.545  2.252  
214  -0.017  7.378  2.272  
215  0.186  7.442  2.293  
216  0.259  7.641  2.314  
217  0.137  7.819  2.336  
218  0.079  7.913  2.357  
219  0.122  7.995  2.378  
220  0.064  8.07  2.4  
221  0.08  8.123  2.421  
222  0.022  8.152  2.443  
223  -0.099  8.094  2.465  
224  -0.197  7.928  2.486  
225  -0.219  7.702  2.508  
226  -0.231  7.457  2.53  
227  -0.262  7.194  2.551  
228  -0.102  6.995  2.573  
229  0.065  6.954  2.595  
230  0.123  7.023  2.618  
231  0.127  7.125  2.64  
232  0.103  7.216  2.663  
233  0.042  7.262  2.686  
234  -0.18  7.168  2.708  
235  -0.336  6.892  2.731  
236  -0.364  6.52  2.754  
237  -0.446  6.09  2.776  
238  -0.493  5.598  2.799  
239  -0.532  5.065  2.821  
240  -0.412  4.569  2.844  
241  -0.413  4.127  2.867  
242  -0.515  3.637  2.89  
243  -0.548  3.083  2.913  
244  -0.525  2.522  2.936  
245  -0.467  2.002  2.96  
246  -0.373  1.558  2.983  
247  -0.161  1.267  3.007  
248  0.072  1.191  3.031  
249  0.1  1.244  3.055  
250  0.045  1.288  3.079  
251  0.05  1.309  3.104  
252  0.068  1.342  3.128  
253  0.189  1.443  3.153  
254  0.293  1.653  3.178  
255  0.326  1.933  3.203  
256  0.394  2.263  3.228  
257  0.432  2.645  3.253  
258  0.47  3.066  3.279  
259  0.502  3.521  3.304  
260  0.558  4.018  3.33  
261  0.462  4.494  3.356  
262  0.414  4.905  3.382  
263  0.543  5.354  3.408  
264  0.634  5.906  3.434  
265  0.559  6.463  3.46  
266  0.31  6.859  3.486  
267  -0.032  6.967  3.512  
268  -0.159  6.847  3.538  
269  -0.052  6.712  3.564  
270  -0.003  6.647  3.59  
271  -0.039  6.588  3.616  
272  -0.123  6.474  3.643  
273  -0.071  6.344  3.669  
274  -0.04  6.253  3.696  
275  0.03  6.211  3.722  
276  -0.026  6.174  3.749  
277  -0.048  6.102  3.776  
278  -0.025  6.029  3.803  
279  -0.058  5.947  3.829  
280  -0.21  5.772  3.856  
281  -0.411  5.427  3.883  
282  -0.383  4.999  3.91  
283  -0.255  4.646  3.937  
284  0  4.486  3.965  
285  0.416  4.655  3.993  
286  0.691  5.159  4.021  
287  0.659  5.79  4.049  
288  0.689  6.428  4.078  
289  0.883  7.174  4.107  
290  0.963  8.05  4.136  
291  0.856  8.916  4.165  
292  0.82  9.714  4.194  
293  0.732  10.446  4.223  
294  0.598  11.069  4.252  
295  0.514  11.582  4.281  
296  0.364  11.977  4.31  
297  0.21  12.222  4.339  
298  0.127  12.35  4.368  
299  0.108  12.425  4.397  
300  0.084  12.478  4.426  
301  0.115  12.533  4.456  
302  0.055  12.568  4.485  
303  -0.131  12.485  4.514  
304  -0.177  12.291  4.543  
305  -0.141  12.085  4.573  
306  -0.262  11.836  4.602  
307  -0.286  11.519  4.632  
308  -0.249  11.207  4.661  
309  -0.191  10.939  4.691  
310  -0.218  10.686  4.72  
311  -0.21  10.425  4.75  
312  -0.221  10.16  4.78  
313  -0.266  9.869  4.81  
314  -0.255  9.563  4.84  
315  -0.133  9.319  4.871  
316  -0.148  9.126  4.901  
317  -0.196  8.904  4.932  
318  -0.273  8.619  4.962  
319  -0.365  8.25  4.993  
320  -0.424  7.808  5.023  
321  -0.355  7.369  5.054  
322  -0.371  6.952  5.085  
323  -0.408  6.511  5.115  
324  -0.474  6.017  5.146  
325  -0.559  5.448  5.177  
326  -0.632  4.799  5.208  
327  -0.761  4.049  5.239  
328  -0.876  3.179  5.27  
329  -0.955  2.212  5.301  
330  -0.965  1.204  5.332  
331  -0.823  0.257  5.363  
332  -0.75  -0.585  5.394  
333  -0.656  -1.342  5.426  
334  -0.58  -2.014  5.457  
335  -0.432  -2.571  5.489  
336  -0.164  -2.923  5.521  
337  0.094  -3.015  5.554  
338  0.281  -2.886  5.587  
339  0.45  -2.579  5.62  
340  0.566  -2.131  5.653  
341  0.574  -1.619  5.687  
342  0.63  -1.076  5.72  
343  0.582  -0.529  5.754  
344  0.538  -0.024  5.788  
345  0.654  0.519  5.822  
346  0.904  1.241  5.856  
347  1.053  2.155  5.891  
348  1.06  3.147  5.925  
349  0.94  4.081  5.96  
350  0.794  4.904  5.995  

