X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
76.50	-7.52	-1.61	0.00490196	-0.0998731
77.52	-7.40	-1.57	0.0833333	-0.0223145
78.54	-7.35	-1.61	-0.0539216	-0.160442
79.56	-7.51	-1.86	-0.102941	-0.210335
80.58	-7.56	-2.01	0.00490196	-0.103364
81.60	-7.50	-2.04	-0.0245098	-0.133649
82.62	-7.61	-2.25	-0.544118	-0.654129
83.64	-8.61	-3.33	0.00490196	-0.105983
84.66	-7.60	-2.43	0.367647	0.25589
85.68	-7.86	-2.78	-0.27451	-0.38714
86.70	-8.16	-3.18	0.377451	0.263948
87.72	-7.09	-2.21	0.5	0.385624
88.74	-7.14	-2.36	-0.147059	-0.262307
89.76	-7.39	-2.72	0.142157	0.0260358
90.78	-6.85	-2.27	0.656863	0.539869
91.80	-6.05	-1.58	0.671569	0.553702
92.82	-5.48	-1.12	0.0882353	-0.0305041
93.84	-5.87	-1.61	-0.191176	-0.310789
94.86	-5.87	-1.72	0.0490196	-0.0714654
95.88	-5.77	-1.73	0.102941	-0.0184166
96.90	-5.66	-1.73	0.191176	0.0689459
97.92	-5.38	-1.57	0.465686	0.342583
98.94	-4.71	-1.01	0.534314	0.410338
99.96	-4.29	-0.70	0.313725	0.188877
100.98	-4.07	-0.59	0.22549	0.0997686
102.00	-3.83	-0.47	0.196078	0.069484
103.02	-3.67	-0.43	0.215686	0.0882191
104.04	-3.39	-0.27	0.0588235	-0.0695164
105.06	-3.55	-0.54	-0.220588	-0.349801
106.08	-3.84	-0.96	-0.166667	-0.296752
107.10	-3.89	-1.13	-0.00490196	-0.13586
108.12	-3.85	-1.21	0.117647	-0.014184
109.14	-3.65	-1.14	0.264706	0.132002
110.16	-3.31	-0.92	0.372549	0.238972
111.18	-2.89	-0.63	0.431373	0.296923
112.20	-2.43	-0.29	0.27451	0.139188
113.22	-2.33	-0.33	-0.0196078	-0.155803
114.24	-2.47	-0.59	-0.107843	-0.244911
115.26	-2.55	-0.81	0.0294118	-0.108529
