mirror dimensions: 400mmx70mmx80mm 
Scan Length = 360 mm
measurement step = 1mm
x(mm)	Slope (urad)
132.0000000	0.4183118
133.0000000	0.3822660
134.0000000	0.2459981
135.0000000	0.2371084
136.0000000	0.3478971
137.0000000	0.2953646
138.0000000	0.1743113
139.0000000	0.1092374
140.0000000	0.2108434
141.0000000	0.4225294
142.0000000	0.4964960
143.0000000	0.3649433
144.0000000	0.1546718
145.0000000	0.1159817
146.0000000	0.2183734
147.0000000	0.3965473
148.0000000	0.4205036
149.0000000	0.3242427
150.0000000	0.3043648
151.0000000	0.2301705
152.0000000	0.2932599
153.0000000	0.4447334
154.0000000	0.4551914
155.0000000	0.3661341
156.0000000	0.3514619
157.0000000	0.3358752
158.0000000	0.3164742
159.0000000	0.3984594
160.0000000	0.5004309
161.0000000	0.5352892
162.0000000	0.4070346
163.0000000	0.2845674
164.0000000	0.2991880
165.0000000	0.4357966
166.0000000	0.6301937
167.0000000	0.5371794
168.0000000	0.2883543
169.0000000	0.3357186
170.0000000	0.5053726
171.0000000	0.6419167
172.0000000	0.5679511
173.0000000	0.3809764
174.0000000	0.2706926
175.0000000	0.4142003
176.0000000	0.6755997
177.0000000	0.7149911
178.0000000	0.5633749
179.0000000	0.2407515
180.0000000	0.2283211
