1360mmx160mmx50mm 	
-348	-20.061
-347	-20.021
-346	-19.785
-345	-19.776
-344	-19.62
-343	-19.74
-342	-19.52
-341	-19.47
-340	-19.271
-339	-19.27
-338	-19.055
-337	-19.082
-336	-18.972
-335	-18.79
-334	-18.705
-333	-18.616
-332	-18.692
-331	-18.578
-330	-18.513
-329	-18.346
-328	-18.377
-327	-18.235
-326	-18.208
-325	-18.064
-324	-18.025
-323	-17.831
-322	-17.831
-321	-17.78
-320	-17.682
-319	-17.614
-318	-17.692
-317	-17.617
-316	-17.627
-315	-17.463
-314	-17.409
-313	-17.311
-312	-17.204
-311	-17.017
-310	-17.102
-309	-16.899
-308	-16.913
-307	-16.749
-306	-16.834
-305	-16.762
-304	-16.969
-303	-16.827
-302	-16.801
-301	-16.574
-300	-16.65
-299	-16.552
-298	-16.55
-297	-16.346
-296	-16.26
-295	-16.128
-294	-16.016
-293	-15.923
-292	-15.88
-291	-15.966
-290	-16.011
-289	-15.972
-288	-15.809
-287	-15.543
-286	-15.573
-285	-15.657
-284	-15.703
-283	-15.553
-282	-15.432
-281	-15.307
-280	-15.163
-279	-15.199
-278	-15.108
-277	-15.194
-276	-15.094
-275	-14.944
-274	-14.751
-273	-14.767
-272	-14.633
-271	-14.645
-270	-14.72
-269	-14.786
-268	-14.657
-267	-14.661
-266	-14.528
-265	-14.394
-264	-14.406
-263	-14.288
-262	-14.175
-261	-14.053
-260	-13.881
-259	-13.665
-258	-13.602
-257	-13.7
-256	-13.78
-255	-13.674
-254	-13.61
-253	-13.459
-252	-13.404
-251	-13.432
-250	-13.439
-249	-13.442
-248	-13.24
-247	-13.173
-246	-13.187
-245	-13.189
-244	-13.049
-243	-13.024
-242	-12.974
-241	-13.023
-240	-12.941
-239	-12.904
-238	-12.776
-237	-12.885
-236	-12.884
-235	-12.992
-234	-12.935
-233	-12.921
-232	-12.781
-231	-12.658
-230	-12.427
-229	-12.209
-228	-11.784
-227	-12.148
-226	-12.39
-225	-12.382
-224	-12.262
-223	-12.001
-222	-11.789
-221	-11.899
-220	-11.845
-219	-11.852
-218	-11.926
-217	-12.011
-216	-11.897
-215	-11.811
-214	-11.819
-213	-11.578
-212	-11.456
-211	-11.394
-210	-11.283
-209	-11.248
-208	-11.326
-207	-11.259
-206	-11.331
-205	-11.248
-204	-11.164
-203	-11.125
-202	-11.043
-201	-11.158
-200	-11.207
-199	-10.844
-198	-10.952
-197	-11.058
-196	-10.973
-195	-10.83
-194	-10.625
-193	-10.579
-192	-10.547
-191	-10.423
-190	-10.377
-189	-10.512
-188	-10.476
-187	-10.45
-186	-10.378
-185	-10.32
-184	-10.317
-183	-10.305
-182	-10.362
-181	-10.258
-180	-10.049
-179	-9.992
-178	-9.962
-177	-10.028
-176	-9.85
-175	-9.812
-174	-9.752
-173	-9.764
-172	-9.471
-171	-9.361
-170	-9.262
-169	-9.305
-168	-9.236
-167	-9.182
-166	-8.96
-165	-8.944
-164	-8.785
-163	-9.04
-162	-9.116
-161	-9.138
-160	-8.968
-159	-8.896
-158	-8.825
-157	-8.868
-156	-8.69
-155	-8.8
-154	-8.779
-153	-8.784
-152	-8.812
-151	-8.774
-150	-8.734
-149	-8.543
-148	-8.48
-147	-8.355
-146	-8.329
-145	-8.181
-144	-8.177
-143	-8.166
-142	-8.25
-141	-8.212
-140	-8.087
-139	-8.008
-138	-8.122
-137	-8.154
-136	-7.926
-135	-7.692
-134	-7.716
-133	-7.579
-132	-7.524
-131	-7.591
-130	-7.522
-129	-7.405
-128	-7.27
-127	-7.208
-126	-7.243
-125	-7.219
-124	-7.093
-123	-7.04
-122	-6.808
-121	-6.766
-120	-6.75
-119	-6.663
-118	-6.632
-117	-6.586
-116	-6.415
-115	-6.352
-114	-6.111
-113	-6.016
-112	-6.079
-111	-5.884
-110	-6.079
-109	-6.066
-108	-5.929
-107	-5.725
-106	-5.892
-105	-5.791
-104	-5.791
-103	-5.744
-102	-5.884
-101	-5.69
-100	-5.636
-99	-5.457
-98	-5.442
-97	-5.305
-96	-5.385
-95	-5.26
-94	-5.287
-93	-5.172
-92	-5.173
-91	-4.968
-90	-4.973
-89	-4.911
-88	-4.976
-87	-5.002
-86	-5.248
-85	-4.814
-84	-4.544
-83	-4.634
-82	-4.779
-81	-4.563
-80	-4.312
-79	-4.309
-78	-4.359
-77	-4.287
-76	-4.306
-75	-4.078
-74	-3.98
-73	-3.872
-72	-3.876
-71	-3.803
-70	-3.709
-69	-3.629
-68	-3.609
-67	-3.552
-66	-3.475
-65	-3.363
-64	-3.28
-63	-3.432
-62	-3.494
-61	-3.585
-60	-3.574
-59	-3.396
-58	-3.374
-57	-3.28
-56	-3.232
-55	-3.16
-54	-3.212
-53	-3.095
-52	-2.975
-51	-2.886
-50	-2.933
-49	-2.678
-48	-2.489
-47	-2.355
-46	-2.321
-45	-2.421
-44	-2.248
-43	-1.89
-42	-2.035
-41	-2.044
-40	-1.976
-39	-1.863
-38	-1.642
-37	-1.675
-36	-1.774
-35	-1.826
-34	-1.767
-33	-1.818
-32	-1.82
-31	-1.732
-30	-1.561
-29	-1.649
-28	-1.613
-27	-1.623
-26	-1.463
-25	-1.31
-24	-1.379
-23	-1.309
-22	-1.397
-21	-1.27
-20	-1.172
-19	-1.076
-18	-1.05
-17	-1.013
-16	-0.949
-15	-0.869
-14	-0.971
-13	-0.858
-12	-0.881
-11	-0.79
-10	-0.82
-9	-0.522
-8	-0.419
-7	-0.107
-6	0.006
-5	0.193
-4	0.263
-3	0.321
-2	0.292
-1	0.278
0	0.337
1	0.482
2	0.497
3	0.643
4	0.508
5	0.383
6	0.302
7	0.473
8	0.42
9	0.534
10	0.619
11	0.664
12	0.848
13	1.074
14	1.11
15	1.379
16	1.325
17	1.274
18	1.229
19	1.559
20	1.51
21	1.559
22	1.506
23	1.754
24	1.675
25	1.732
26	1.853
27	2.097
28	2.066
29	2.146
30	2.166
31	2.32
32	2.232
33	2.394
34	2.402
35	2.599
36	2.636
37	2.784
38	2.459
39	2.445
40	2.351
41	2.597
42	2.55
43	2.655
44	2.713
45	2.989
46	3.083
47	3.527
48	3.638
49	3.719
50	3.463
51	3.615
52	3.583
53	3.748
54	3.698
55	3.824
56	3.736
57	3.944
58	3.855
59	3.768
60	3.652
61	3.92
62	3.791
63	4.034
64	3.878
65	4.094
66	4.118
67	4.184
68	4.303
69	4.348
70	4.37
71	4.413
72	4.549
73	4.468
74	4.427
75	4.503
76	4.657
77	4.721
78	4.955
79	4.934
80	5.125
81	5.106
82	5.079
83	5.17
84	5.331
85	5.275
86	5.073
87	5.49
88	5.509
89	5.467
90	5.659
91	5.588
92	5.761
93	5.953
94	6.062
95	5.948
96	5.811
97	5.938
98	6.05
99	6.062
100	6.213
101	6.287
102	6.288
103	6.3
104	6.402
105	6.322
106	6.501
107	6.564
108	6.624
109	6.551
110	6.814
111	6.832
112	7.026
113	7.017
114	7.135
115	6.989
116	6.894
117	7.035
118	6.991
119	6.904
120	6.877
121	6.886
122	6.927
123	7.208
124	7.313
125	7.558
126	7.587
127	7.795
128	7.825
129	7.71
130	7.646
131	7.903
132	8.091
133	8.088
134	8.078
135	8.02
136	8.055
137	8.18
138	8.142
139	8.159
140	8.168
141	8.18
142	8.416
143	8.561
144	8.573
145	8.502
146	8.509
147	8.644
148	8.648
149	8.632
150	8.708
151	8.719
152	8.697
153	8.634
154	8.631
155	8.736
156	8.808
157	8.85
158	9.076
159	9.257
160	9.413
161	8.915
162	9.572
163	10.127
164	9.824
165	9.685
166	9.843
167	9.862
168	9.951
169	9.796
170	9.961
171	9.878
172	9.964
173	9.92
174	10.093
175	10.367
176	10.53
177	10.337
178	10.444
179	10.502
180	10.63
181	10.561
182	10.643
183	10.583
184	10.85
185	10.846
186	10.839
187	10.784
188	10.829
189	10.812
190	11.028
191	10.888
192	10.972
193	11.12
194	11.276
195	11.153
196	11.222
197	11.156
198	11.223
199	11.209
200	11.252
201	11.321
202	11.39
203	11.494
204	11.522
205	11.471
206	11.457
207	11.451
208	11.408
209	11.462
210	11.488
211	11.61
212	11.779
213	11.761
214	11.552
215	11.759
216	11.883
217	11.957
218	11.985
219	12.021
220	12.055
221	12.175
222	12.157
223	12.175
224	12.273
225	12.299
226	12.174
227	12.227
228	12.514
229	12.446
230	12.551
231	12.652
232	12.804
233	12.913
234	12.894
235	12.969
236	13.017
237	13.117
238	13.126
239	13.218
240	13.339
241	13.425
242	13.342
243	13.456
244	13.462
245	13.574
246	13.675
247	13.819
248	13.687
249	13.822
250	13.812
251	13.858
252	13.847
253	13.995
254	13.986
255	14.144
256	14.011
257	14.164
258	13.676
259	14.705
260	14.163
261	14.186
262	14.232
263	14.293
264	14.428
265	14.621
266	14.555
267	14.582
268	14.457
269	14.415
270	14.447
271	14.485
272	14.526
273	14.613
274	14.576
275	14.713
276	14.8
277	14.807
278	14.909
279	14.897
280	14.764
281	14.763
282	14.968
283	15.001
284	15.036
285	15.118
286	15.37
287	15.518
288	15.429
289	15.413
290	15.444
291	15.484
292	15.484
293	15.524
294	15.654
295	15.732
296	15.647
297	15.798
298	15.835
299	16.04
300	16.112
301	16.17
302	16.125
303	16.23
304	16.362
305	16.647
306	16.697
307	16.676
308	16.67
309	16.696
310	16.834
311	17.007
312	17.037
313	17.111
314	17.25
315	17.38
316	17.253
317	17.074
318	17.201
319	17.261
320	17.311
321	17.401
322	17.431
323	17.408
324	17.564
325	17.572
326	17.531
327	17.576
328	17.633
329	17.665
330	17.927
331	18.094
332	18.143
333	18.104
334	18.356
335	18.537
336	18.816
337	18.632
338	18.663
339	18.839
340	18.928
341	18.888
342	18.94
343	19.009
344	19.228
345	19.161
346	19.094
347	19.157
348	19.261
349	19.27
350	19.392
351	19.414
352	19.586
353	19.673
354	19.627
355	19.586
356	19.795
357	19.874
358	20.019
359	20.209
360	20.101
361	20.258
362	20.063
363	20.15
364	20.289
365	20.422
366	20.564
367	20.727
368	20.797
369	20.829
370	20.645
371	20.745
372	20.765
373	20.853
374	20.767
375	20.959
376	21.112
377	21.132
378	20.905
379	20.689
380	20.757
381	21.098
382	21.23
383	21.116
384	21.206
385	21.319
386	21.255
387	21.171
388	21.247
389	21.233
390	21.199
391	21.187
392	21.27
393	21.215
394	21.167
395	21.395
396	21.607
397	21.702
398	21.826
399	22.066
400	22.212
401	22.211
402	22.289
403	22.407
404	22.327
405	22.335
406	22.222
407	22.263
408	22.371
409	22.451
410	22.459
411	22.694
412	22.699
413	22.644
414	22.392
415	22.544
416	22.66
417	22.746
418	22.918
419	23.175
420	23.154
421	23.324
422	23.316
423	23.446
424	23.434
425	23.438
426	23.52
427	23.429
428	23.509
429	23.551
430	23.555
431	24.117
432	24.065
433	23.769
434	23.662
435	23.434
436	23.809
437	23.947
438	23.994
439	23.99
440	24.077
441	24.02
442	24.017
443	23.964
444	23.971
445	23.707
446	23.665
447	23.675
448	23.699
449	23.603
450	23.731
451	23.74
452	23.818
453	23.904
454	24.073
455	24.104
456	24.167
457	24.255
458	24.363
459	24.394
460	24.43
461	24.335
462	24.333
463	24.224
464	24.15
465	24.253
466	24.311
467	24.307
468	24.439
469	24.714
470	24.793
471	24.756
472	24.693
473	24.733
474	24.848
475	25.055
476	25.138
477	25.334
478	25.445
479	25.36
480	25.426
481	25.413
482	25.726
483	25.668
484	25.648
485	25.71
486	25.784
487	25.889
488	26.011
489	26.176
490	26.332
491	26.321
492	26.345
493	26.297
494	26.353
495	26.369
496	26.432
497	26.428
498	26.752
499	27.013
500	27.065
501	27.118
502	27.124
503	27.171
504	27.313
505	27.239
506	27.176
507	27.297
508	27.45
509	27.772
510	27.696
511	27.724
512	27.749
513	27.866
514	27.81
515	27.954
516	28.019
517	28.079
518	28.156
519	28.291
520	28.22
521	28.249
522	28.291
523	28.358
524	28.491
525	28.534
526	28.625
527	28.548
528	28.647
529	28.688
530	28.819
531	28.82
532	28.847
533	28.87
534	28.99
535	28.82
536	28.792
537	28.718
538	28.888
539	28.888
540	28.898
541	28.87
542	28.91
543	28.938
544	29.039
545	29.033
546	29.189
547	29.329
548	29.35
549	29.497
550	29.562
551	29.618
552	29.676
553	29.758
554	29.923
555	30.07
556	30.015
557	29.903
558	29.956
559	30.001
560	30.065
561	30.255
562	30.394
563	30.411
564	30.428
565	30.604
566	30.881
567	30.968
568	30.868
569	30.806
570	30.771
571	30.777
572	30.869
573	30.946
574	31.034
575	30.914
576	31.113
577	31.222
578	31.206
579	31.267
580	31.396
581	31.497
582	31.805
583	31.864
584	31.892
585	31.86
586	31.939
587	31.914
588	32.083
589	32.155
590	32.258
591	32.592
592	32.905
593	33.043
594	33.087
595	33.003
596	33.065
597	33.147
598	33.184
599	33.268
600	33.291
